Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500428.20.1,Summary,1950-04-28,17:00:00,3,Kansas,-,-,1,0,0,10,19.8,Coffey,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.12,-95.85,38.35,-95.63,1,,58,Unmodified
19500504.20.2,Summary,1950-05-04,20:00:00,3,Kansas,-,-,1,0,0,10,0.1,Rush,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.68,-99.32,-,-,1,,73,Unmodified
19500504.20.3,Summary,1950-05-04,23:10:00,3,Kansas,-,-,4,0,1,150,34.3,Barton,Pawnee,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.03,-99.12,38.45,-98.78,1,,79,Unmodified
19500505.20.4,Summary,1950-05-05,03:30:00,3,Kansas,-,-,3,0,12,440,17.3,Jackson,Brown,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.62,-95.62,39.85,-95.52,1,,80,Unmodified
19500508.20.5,Summary,1950-05-08,18:30:00,3,Kansas,-,-,2,0,0,660,12.6,Mitchell,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.35,-98.48,39.47,-98.3,1,,86,Unmodified
19500508.20.6,Summary,1950-05-08,19:00:00,3,Kansas,-,-,2,0,1,10,6.8,Jewell,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.57,-98.3,39.63,-98.2,1,,87,Unmodified
19500508.20.7,Summary,1950-05-08,19:30:00,3,Kansas,-,-,2,0,2,440,19.6,Osborne,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.23,-98.95,39.23,-98.58,1,,89,Unmodified
19500508.20.8,Summary,1950-05-08,21:17:00,3,Kansas,-,-,1,0,1,10,0.1,Cloud,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.4,-97.65,-,-,1,,90,Unmodified
19500508.20.9,Summary,1950-05-08,21:30:00,3,Kansas,-,-,1,0,0,10,0.1,Republic,-,-,-,-,-,-,-,-,-,-,-,-,,39.72,-97.77,-,-,1,,91,Unmodified
19500509.20.10,Summary,1950-05-09,00:01:00,3,Kansas,-,-,1,0,0,10,0.1,Riley,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.2,-96.58,-,-,1,,93,Unmodified
