Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500103.29.1,Summary,1/3/1950,11:00:00,3,Missouri,Illinois,-,3,0,3,150,9.5,St. Louis,Madison,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,38.77,-90.22,38.83,-90.03,2,,1,Unmodified
19500103.29.1,State,1/3/1950,11:00:00,3,Missouri,,,3,0,3,150,6.2,St. Louis,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,38.77,-90.22,38.82,-90.12,2,,1,Unmodified
19500103.29.1,State,1/3/1950,11:10:00,3,Illinois,,,3,0,0,100,3.3,Madison,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.82,-90.12,38.83,-90.03,2,,1,Unmodified
19500125.29.2,Summary,1/25/1950,19:30:00,3,Missouri,-,-,2,0,5,300,2.3,Iron,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.6,-90.68,37.63,-90.65,1,,5,Unmodified
19500609.29.3,Summary,6/9/1950,13:00:00,3,Missouri,-,-,1,0,0,220,2.7,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38,-92.22,38.02,-92.17,1,,133,Unmodified
19500615.29.4,Summary,6/15/1950,1:00:00,3,Missouri,-,-,1,0,0,100,0.2,Shelby,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39.7,-92.07,-,-,1,,140,Unmodified
19500719.29.5,Summary,7/19/1950,16:00:00,3,Missouri,-,-,1,0,0,440,1.5,Morgan,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,38.42,-92.77,-,-,1,,170,Unmodified
19500808.29.6,Summary,8/8/1950,1:00:00,3,Missouri,-,-,1,0,0,10,2,Greene,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,37.13,-93.38,-,-,1,,181,Unmodified
19510525.29.1,Summary,5/25/1951,21:00:00,3,Missouri,-,-,1,0,0,10,0.2,Nodaway,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.4,-95.17,-,-,1,,87,Unmodified
19510608.29.2,Summary,6/8/1951,17:45:00,3,Missouri,-,-,1,0,0,10,0.1,Phelps,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,37.93,-91.88,-,-,1,,130,Unmodified
19510704.29.3,Summary,7/4/1951,1:00:00,3,Missouri,-,-,2,0,1,100,0.1,Jasper,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.15,-94.47,-,-,1,,180,Unmodified
19510708.29.4,Summary,7/8/1951,20:15:00,3,Missouri,-,-,2,0,0,100,2.3,Ray,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.22,-94.02,39.25,-94.02,1,,186,Unmodified
19510709.29.5,Summary,7/9/1951,23:45:00,3,Missouri,-,-,1,0,0,440,2,Howell,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,36.55,-91.7,-,-,1,,188,Unmodified
19511113.29.6,Summary,11/13/1951,13:30:00,3,Missouri,-,-,3,0,1,27,1,New Madrid,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.62,-89.75,-,-,1,,242,Unmodified
19520213.29.1,Summary,2/13/1952,17:10:00,3,Missouri,-,-,2,0,0,100,6.8,Pemiscot,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.07,-89.93,36.15,-89.87,1,,17,Unmodified
19520318.29.2,Summary,3/18/1952,17:25:00,3,Missouri,-,-,2,0,1,100,18.4,St. Francois,Ste. Genevieve,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.75,-90.5,37.88,-90.22,1,,48,Unmodified
19520318.29.3,Summary,3/18/1952,18:30:00,3,Missouri,-,-,2,0,0,500,6.2,Cape Girardeau,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.37,-89.78,37.45,-89.73,1,,51,Unmodified
19520321.29.4,Summary,3/21/1952,20:00:00,3,Missouri,-,-,4,17,100,880,6.5,Pemiscot,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.05,-89.82,36.07,-89.7,1,,68,Unmodified
19520507.29.5,Summary,5/7/1952,16:00:00,3,Missouri,-,-,1,0,0,400,1.5,Gentry,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.1,-94.53,-,-,1,,121,Unmodified
19520522.29.6,Summary,5/22/1952,19:00:00,3,Missouri,-,-,2,0,1,440,1.3,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.9,-94.27,38.93,-94.23,1,,139,Unmodified
19520717.29.7,Summary,7/17/1952,16:15:00,3,Missouri,-,-,1,0,0,10,0.2,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.97,-91.5,-,-,1,,205,Unmodified
19520821.29.8,Summary,8/21/1952,0:20:00,3,Missouri,-,-,2,1,13,300,1.3,Pettis,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,38.68,-93.27,38.7,-93.23,1,,226,Unmodified
19521116.29.9,Summary,11/16/1952,16:00:00,3,Missouri,-,-,3,0,2,600,21.6,Nodaway,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.45,-95.07,40.57,-94.68,1,,233,Unmodified
19530314.29.1,Summary,3/14/1953,17:00:00,3,Missouri,-,-,1,0,1,10,0.2,Lincoln,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.22,-90.75,-,-,1,,43,Unmodified
19530331.29.2,Summary,3/31/1953,16:00:00,3,Missouri,-,-,1,0,0,10,0.2,Bates,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38.37,-94.28,-,-,1,,69,Unmodified
19530331.29.3,Summary,3/31/1953,16:30:00,3,Missouri,-,-,1,0,0,10,3,Henry,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38.47,-94,38.48,-93.95,1,,70,Unmodified
19530510.29.4,Summary,5/10/1953,14:00:00,3,Missouri,-,-,1,0,0,10,0.2,Texas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.55,-91.92,-,-,1,,151,Unmodified
