Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500227.40.1,Summary,1950-02-27,10:20:00,3,Oklahoma,-,-,2,0,0,50,2,Oklahoma,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.55,-97.6,-,-,1,,27,Unmodified
19500327.40.2,Summary,1950-03-27,03:00:00,3,Oklahoma,-,-,2,0,0,77,0.1,Pittsburg,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.85,-95.75,-,-,1,,38,Unmodified
19500402.40.3,Summary,1950-04-02,18:00:00,3,Oklahoma,-,-,2,0,0,100,1,Lincoln,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.82,-97.02,-,-,1,,50,Unmodified
19500403.40.4,Summary,1950-04-03,16:15:00,3,Oklahoma,-,-,1,0,0,33,1,Tulsa,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.13,-95.83,-,-,1,,52,Unmodified
19500428.40.5,Summary,1950-04-28,14:17:00,3,Oklahoma,-,-,3,1,1,400,20.8,Kiowa,Washita,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.88,-99.28,35.17,-99.2,1,,57,Unmodified
19500428.40.6,Summary,1950-04-28,19:05:00,3,Oklahoma,-,-,4,5,32,200,4.5,Hughes,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.08,-96.4,35.13,-96.35,1,,60,Unmodified
19500428.40.7,Summary,1950-04-28,19:30:00,3,Oklahoma,-,-,2,0,0,100,0.8,Coal,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.55,-96.2,-,-,1,,61,Unmodified
19500504.40.8,Summary,1950-05-04,21:30:00,3,Oklahoma,-,-,2,0,0,293,5.6,Beckham,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.25,-99.55,35.32,-99.5,1,,76,Unmodified
19500504.40.9,Summary,1950-05-04,21:30:00,3,Oklahoma,-,-,1,0,0,10,0.1,Custer,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.58,-99.17,-,-,1,,77,Unmodified
19500504.40.10,Summary,1950-05-04,21:45:00,3,Oklahoma,-,-,2,0,0,100,1,Woodward,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.57,-99.57,-,-,1,,78,Unmodified
