Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500126.48.1,Summary,1950-01-26,18:00:00,3,Texas,-,-,2,0,2,133,4.7,Brooks,-,-,-,-,-,-,-,-,-,-,-,-,,26.88,-98.12,26.88,-98.05,1,,7,Unmodified
19500211.48.2,Summary,1950-02-11,13:10:00,3,Texas,-,-,2,0,0,400,9.9,Brazoria,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.42,-95.25,29.52,-95.13,1,,8,Unmodified
19500211.48.3,Summary,1950-02-11,13:50:00,3,Texas,-,-,3,1,12,1000,12,Harris,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.67,-95.05,29.83,-95,1,,9,Unmodified
19500211.48.4,Summary,1950-02-11,21:00:00,3,Texas,-,-,2,0,5,100,4.6,Smith,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.35,-95.2,32.42,-95.2,1,,10,Unmodified
19500211.48.5,Summary,1950-02-11,23:55:00,3,Texas,-,-,2,0,6,67,4.5,Cass,Morris,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.98,-94.63,33,-94.7,1,,11,Unmodified
19500212.48.6,Summary,1950-02-12,00:30:00,3,Texas,-,-,2,1,8,833,8,Bowie,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.33,-94.42,33.45,-94.42,1,,12,Unmodified
19500212.48.7,Summary,1950-02-12,01:15:00,3,Texas,-,-,1,0,0,233,2.3,Erath,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.08,-98.35,32.1,-98.33,1,,13,Unmodified
19500212.48.8,Summary,1950-02-12,06:10:00,3,Texas,-,-,2,0,0,100,3.4,Limestone,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.52,-96.55,31.57,-96.55,1,,14,Unmodified
19500212.48.9,Summary,1950-02-12,11:57:00,3,Texas,-,-,1,0,32,100,7.7,Shelby,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.8,-94.2,31.88,-94.12,1,,15,Unmodified
19500212.48.10,Summary,1950-02-12,12:00:00,3,Texas,-,-,3,3,15,50,1.9,Shelby,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.8,-94.2,31.8,-94.18,1,,18,Unmodified
19500428.48.11,Summary,1950-04-28,18:00:00,3,Texas,-,-,4,5,5,233,1.3,Callahan,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.42,-99.5,32.42,-99.48,1,,59,Unmodified
19500429.48.12,Summary,1950-04-29,15:30:00,3,Texas,-,-,1,0,0,200,11.5,Comanche,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.9,-98.6,31.73,-98.6,1,,63,Unmodified
19500504.48.13,Summary,1950-05-04,20:30:00,3,Texas,-,-,2,1,13,50,1.9,Ochiltree,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.4,-100.8,36.42,-100.77,1,,74,Unmodified
19500514.48.14,Summary,1950-05-14,16:00:00,3,Texas,-,-,1,0,0,100,1,Fort Bend,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,29.53,-95.45,-,-,1,,101,Unmodified
19500515.48.15,Summary,1950-05-15,00:01:00,3,Texas,-,-,2,0,0,10,18,Kendall,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.78,-98.83,29.67,-98.57,1,,104,Unmodified
19500525.48.16,Summary,1950-05-25,16:30:00,3,Texas,-,-,1,0,0,880,3,Dawson,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.67,-101.88,32.65,-101.85,1,,118,Unmodified
19500529.48.17,Summary,1950-05-29,17:00:00,3,Texas,-,-,1,0,0,267,3.4,Denton,-,-,-,-,-,-,-,-,-,-,-,-,,33.35,-96.92,33.3,-96.92,1,,120,Unmodified
19500605.48.18,Summary,1950-06-05,15:55:00,3,Texas,-,-,3,0,6,67,23.9,Washington,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.18,-96.4,30.02,-96.05,1,,128,Unmodified
19500605.48.19,Summary,1950-06-05,16:00:00,3,Texas,-,-,1,0,2,10,23.7,Austin,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,29.9,-96.4,29.72,-96.07,1,,129,Unmodified
19500619.48.20,Summary,1950-06-19,20:40:00,3,Texas,-,-,0,0,0,167,15.8,Hartley,-,-,-,-,-,-,-,-,-,-,-,-,,36.08,-102.53,36.08,-102.25,1,,144,Unmodified
19510328.48.1,Summary,1951-03-28,05:10:00,3,Texas,-,-,1,0,0,17,0.5,Houston,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,31.37,-95.6,-,-,1,,16,Unmodified
19510420.48.2,Summary,1951-04-20,15:10:00,3,Texas,-,-,2,0,0,17,1.5,Wichita,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.92,-98.45,-,-,1,,22,Unmodified
19510509.48.3,Summary,1951-05-09,17:00:00,3,Texas,-,-,2,0,0,33,4.9,Wichita,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.93,-98.68,33.93,-98.77,1,,50,Unmodified
